file_base,cluster,time_min,cytokine,TSNE1,TSNE2
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,3,,UNSTIM,-41.9451315891645,-12.3905598483175
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,19,,UNSTIM,-12.7723767004228,-30.4071524499911
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,12,,UNSTIM,-12.2671030451743,-30.7981554528449
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,7,,UNSTIM,-31.3842735535159,-17.5920158629014
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,16,,UNSTIM,-26.2210679107701,-22.5549692473666
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,6,,UNSTIM,-31.3176269159519,-16.8738985591246
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,15,,UNSTIM,-14.2071451644598,-28.891833584548
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,14,,UNSTIM,-13.1889061737947,-29.4539353199476
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,11,,UNSTIM,41.8373872664543,-4.13122436249287
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,4,,UNSTIM,4.41652857693026,-22.9740673275408
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,9,,UNSTIM,-14.1482313856688,-28.1811934158934
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,10,,UNSTIM,-32.7800804078353,-18.1348584694028
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,20,,UNSTIM,-3.44603633340802,-41.9406828246036
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,5,,UNSTIM,-4.96910362483222,-20.0000052368582
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,2,,UNSTIM,-6.58923605325536,-19.7882790365491
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,1,,UNSTIM,-18.5027443150332,-24.2892215612484
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,18,,UNSTIM,-1.52941367596515,-13.8800024652384
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,8,,UNSTIM,-7.88508983193328,-20.2508852167055
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,17,,UNSTIM,-3.94005725247499,-30.3980278224565
Batch_1_20250917_pTCR_cHCV_Sample1_HBUF8157_US-1.fcs,13,,UNSTIM,2.23245236744899,-2.05754478380076
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,16,0,CD3,-29.1690601210194,-20.9615856059026
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,7,0,CD3,-32.5351590793944,-17.6448766723456
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,12,0,CD3,-36.589231175307,-14.2997539664378
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,6,0,CD3,-36.3730124788781,-15.185737944659
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,1,0,CD3,-20.8051560410853,-21.3849036864216
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,8,0,CD3,-40.5595372470212,-12.8773942013926
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,19,0,CD3,-4.43102826515183,-29.3297006544761
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,14,0,CD3,-23.0757380357865,-24.7248752799765
Batch_1_20250917_pTCR_cHCV_Sample1_P1_CD3_0min.fcs,11,0,CD3,-25.420942662863,-22.6857736001085
